Type;Indicator;Description;Attribution;TLP
url;https://t.me/saudechat;Telegram Channel where users are chatting around LAPSUS$ attacks and beyond with open discussions on a variety of subjects;LAPSUS$;WHITE
Server Name;WIN-BCC0DC2TCEM;16-byte name for a networking service or function on a machine running Microsoft Windows Server. Found via Shodan history while investigating IP address 185.56.83.40;LAPSUS$;WHITE
Server Name: ;WIN-D418NTE77M3;16-byte name for a networking service or function on a machine running Microsoft Windows Server. Found via Shodan history while investigating IP address 185.56.83.40;LAPSUS$;WHITE
MAC Address:;AC:1F:6B:8B:43:5D;Mac address found for the server name AC:1F:6B:8B:43:5D. Found via Shodan history while investigating IP address 185.56.83.40;LAPSUS$;WHITE
address-btc;bc1qnzgwvm4p7z2n9a3kmdste8wuzlrrvx6gwzpm9v;Bitcoin wallet upon Nvidia negociation;LAPSUS$;WHITE
IP;172.105.209.6;DNS redirection used upon the attack of the Brazil’s Ministry of Health's System claimed on zone-h http://www.zone-h.org/mirror/id/38955648;LAPSUS$;WHITE
IP;103.195.100.11;IP used by the attacker as the main host to seed victim's data via torrents (exposed on @sautdechat around the 4th of March);LAPSUS$;WHITE
CertificateSerialNumber;43bb437d609866286dd839e1d00309f5;https://twitter.com/cyb3rops/status/1499514240008437762 To hunt binaries signed with the leaked NVIDIA certificate (expired but allowed for driver signing);LAPSUS$;WHITE
CertificateSerialNumber;14781bc862e8dc503a559346f5dcc518;https://twitter.com/cyb3rops/status/1499514240008437762 To hunt binaries signed with the leaked NVIDIA certificate (expired but allowed for driver signing);LAPSUS$;WHITE
sha256;c92c2d345803369fe8d343b1c894c1dc82e0c8b855c83d3cdb07c179e108aa78;AgentTesla.exe signed with NVIDIA Corporation (43bb437d609866286dd839e1d00309f5) see other samples being analysed here https://docs.google.com/spreadsheets/d/1eH6vbVv7HbC_h3L52E2zxtOpm1efkTji_DAi2Ya2pBU/edit#gid=1682183859;Unknown;WHITE
sha1;29c1fbbaad4d5b988b570741b733120801f7ebcc;AgentTesla.exe signed with NVIDIA Corporation (43bb437d609866286dd839e1d00309f5) see other samples being analysed here https://docs.google.com/spreadsheets/d/1eH6vbVv7HbC_h3L52E2zxtOpm1efkTji_DAi2Ya2pBU/edit#gid=1682183859;Unknown;WHITE
md5;81448798cca71e2b8bce354afcf098b4;AgentTesla.exe signed with NVIDIA Corporation (43bb437d609866286dd839e1d00309f5) see other samples being analysed here https://docs.google.com/spreadsheets/d/1eH6vbVv7HbC_h3L52E2zxtOpm1efkTji_DAi2Ya2pBU/edit#gid=1682183859;Unknown;WHITE
sha256;065077fa74c211adf9563f00e57b5daf9594e72cea15b1c470d41b756c3b87e1;QuasarRAT.exe signed with NVIDIA Corporation (43bb437d609866286dd839e1d00309f5) see other samples being analysed here https://docs.google.com/spreadsheets/d/1eH6vbVv7HbC_h3L52E2zxtOpm1efkTji_DAi2Ya2pBU/edit#gid=1682183859;Unknown;WHITE
sha1;91b88d281ef983296157f8ebfc73958036148194;QuasarRAT.exe signed with NVIDIA Corporation (43bb437d609866286dd839e1d00309f5) see other samples being analysed here https://docs.google.com/spreadsheets/d/1eH6vbVv7HbC_h3L52E2zxtOpm1efkTji_DAi2Ya2pBU/edit#gid=1682183859;Unknown;WHITE
md5;61089a51d3be666631053d516ad9b827;QuasarRAT.exe signed with NVIDIA Corporation (43bb437d609866286dd839e1d00309f5) see other samples being analysed here https://docs.google.com/spreadsheets/d/1eH6vbVv7HbC_h3L52E2zxtOpm1efkTji_DAi2Ya2pBU/edit#gid=1682183859;Unknown;WHITE
sha256;2f578cb0d97498b3482876c2f356035e3365e2c492e10513ff4e4159eebc44b8;Mimikatz.exe signed with NVIDIA Corporation (43bb437d609866286dd839e1d00309f5) see other samples being analysed here https://docs.google.com/spreadsheets/d/1eH6vbVv7HbC_h3L52E2zxtOpm1efkTji_DAi2Ya2pBU/edit#gid=1682183859;Unknown;WHITE
sha1;f9153289b209929130f897ee47710b4c94aa6453;Mimikatz.exe signed with NVIDIA Corporation (43bb437d609866286dd839e1d00309f5) see other samples being analysed here https://docs.google.com/spreadsheets/d/1eH6vbVv7HbC_h3L52E2zxtOpm1efkTji_DAi2Ya2pBU/edit#gid=1682183859;Unknown;WHITE
md5;07b7da86d2f548d18462f8d6d869052a;Mimikatz.exe signed with NVIDIA Corporation (43bb437d609866286dd839e1d00309f5) see other samples being analysed here https://docs.google.com/spreadsheets/d/1eH6vbVv7HbC_h3L52E2zxtOpm1efkTji_DAi2Ya2pBU/edit#gid=1682183859;Unknown;WHITE
domain;lapsusgroup.tk;A new site set up by LAPSUS$ for news related to the attacks of the hacking group;LAPSUS$;WHITE
email;4c3@jabbim.com;XMPP username;LAPSUS$;WHITE
IP;104.238.222.158;"scanning host https://otx.alienvault.com/pulse/62324535fc8686a6577c135a/. Intrinsec adds that it was used as a Minecraft server in 07-07-2020; VMWARE Authentification Daemon between 2022-02-26 and 2022-03-14 on the port 902";LAPSUS$;WHITE
IP;198.244.205.12; https://otx.alienvault.com/pulse/62324535fc8686a6577c135a/;Unknown;WHITE
